gini,codigo,municipio
0.5893,110001,"alta floresta d""""oeste"
0.5491,110037,alto alegre dos parecis
0.5417,110040,alto paraiso
0.5355,110034,"alvorada d""""oeste"
0.5496,110002,ariquemes
0.5017,110045,buritis
0.5166,110003,cabixi
0.5579,110060,cacaulandia
0.589,110004,cacoal
0.6705,110070,campo novo de rondonia
0.4762,110080,candeias do jamari
0.4996,110090,castanheiras
0.5147,110005,cerejeiras
0.4752,110092,chupinguaia
0.5154,110006,colorado do oeste
0.4852,110007,corumbiara
0.5239,110008,costa marques
0.525,110094,cujubim
0.5399,110009,"espigao d""""oeste"
0.5571,110100,governador jorge teixeira
0.5586,110010,guajara-mirim
0.4771,110110,itapua do oeste
0.5081,110011,jaru
0.5449,110012,ji-parana
0.5596,110013,"machadinho d""""oeste"
0.5588,110120,ministro andreazza
0.6102,110130,mirante da serra
0.4813,110140,monte negro
0.5688,110014,"nova brasilandia d""""oeste"
0.5357,110033,nova mamore
0.4665,110143,nova uniao
0.5214,110050,novo horizonte do oeste
0.4947,110015,ouro preto do oeste
0.5315,110145,parecis
0.55,110018,pimenta bueno
0.4964,110146,pimenteiras do oeste
0.5745,110020,porto velho
0.5281,110025,presidente medici
0.5188,110147,primavera de rondonia
0.5783,110026,rio crespo
0.5401,110028,rolim de moura
0.4972,110029,"santa luzia d""""oeste"
0.4695,110148,"sao felipe d""""oeste"
0.5684,110149,sao francisco do guapore
0.6308,110032,sao miguel do guapore
0.6384,110150,seringueiras
0.4346,110155,teixeiropolis
0.5763,110160,theobroma
0.5165,110170,urupa
0.5727,110175,vale do anari
0.5885,110180,vale do paraiso
0.509,110030,vilhena
0.5464,120001,acrelandia
0.6228,120005,assis brasil
0.5945,120010,brasileia
0.5832,120013,bujari
0.5627,120017,capixaba
0.6438,120020,cruzeiro do sul
0.607,120025,epitaciolandia
0.6774,120030,feijo
0.7112,120032,jordao
0.6102,120033,mancio lima
0.5939,120034,manoel urbano
0.5938,120035,marechal thaumaturgo
0.575,120038,placido de castro
0.6121,120080,porto acre
0.6094,120039,porto walter
0.6121,120040,rio branco
0.6463,120042,rodrigues alves
0.7758,120043,santa rosa do purus
0.5485,120050,sena madureira
0.559,120045,senador guiomard
0.6481,120060,tarauaca
0.59,120070,xapuri
0.5881,130002,alvaraes
0.6698,130006,amatura
0.5807,130008,anama
0.5984,130010,anori
0.5753,130014,apui
0.6594,130020,atalaia do norte
0.5982,130030,autazes
0.7367,130040,barcelos
0.6049,130050,barreirinha
0.5665,130060,benjamin constant
0.6574,130063,beruri
0.6097,130068,boa vista do ramos
0.6427,130070,boca do acre
0.6364,130080,borba
0.597,130083,caapiranga
0.6185,130090,canutama
0.5402,130100,carauari
0.6668,130110,careiro
0.5722,130115,careiro da varzea
0.6234,130120,coari
0.6153,130130,codajas
0.6237,130140,eirunepe
0.6374,130150,envira
0.631,130160,fonte boa
0.7397,130165,guajara
0.6751,130170,humaita
0.5863,130180,ipixuna
0.6029,130185,iranduba
0.5969,130190,itacoatiara
0.7761,130195,itamarati
0.6732,130200,itapiranga
0.5986,130210,japura
0.6056,130220,jurua
0.694,130230,jutai
0.5991,130240,labrea
0.5688,130250,manacapuru
0.5766,130255,manaquiri
0.6334,130260,manaus
0.6074,130270,manicore
0.6977,130280,maraa
0.6452,130290,maues
0.6586,130300,nhamunda
0.6337,130310,nova olinda do norte
0.6037,130320,novo airao
0.5749,130330,novo aripuana
0.5947,130340,parintins
0.7268,130350,pauini
0.5384,130353,presidente figueiredo
0.5566,130356,rio preto da eva
0.7279,130360,santa isabel do rio negro
0.6738,130370,santo antonio do ica
0.8082,130380,sao gabriel da cachoeira
0.6433,130390,sao paulo de olivenca
0.5781,130395,sao sebastiao do uatuma
0.5713,130400,silves
0.6618,130406,tabatinga
0.6021,130410,tapaua
0.6293,130420,tefe
0.5448,130423,tonantins
0.6129,130426,uarini
0.6091,130430,urucara
0.5813,130440,urucurituba
0.7369,140005,alto alegre
0.7502,140002,amajari
0.5936,140010,boa vista
0.7323,140015,bonfim
0.6673,140017,canta
0.567,140020,caracarai
0.5549,140023,caroebe
0.631,140028,iracema
0.7061,140030,mucajai
0.712,140040,normandia
0.7429,140045,pacaraima
0.5729,140047,rorainopolis
0.5498,140050,sao joao da baliza
0.5895,140060,sao luiz
0.778,140070,uiramuta
0.5389,150010,abaetetuba
0.5825,150013,abel figueiredo
0.5355,150020,acara
0.6604,150030,afua
0.526,150034,agua azul do norte
0.5968,150040,alenquer
0.6573,150050,almeirim
0.5721,150060,altamira
0.6181,150070,anajas
0.5352,150080,ananindeua
0.5855,150085,anapu
0.5682,150090,augusto correa
0.5846,150095,aurora do para
0.6049,150100,aveiro
0.4831,150110,bagre
0.5428,150120,baiao
0.6263,150125,bannach
0.5734,150130,barcarena
0.6284,150140,belem
0.5922,150145,belterra
0.492,150150,benevides
0.5297,150157,bom jesus do tocantins
0.5122,150160,bonito
0.5843,150170,braganca
0.6838,150172,brasil novo
0.5805,150175,brejo grande do araguaia
0.5358,150178,breu branco
0.5828,150180,breves
0.5382,150190,bujaru
0.6134,150200,cachoeira do arari
0.5805,150195,cachoeira do piria
0.581,150210,cameta
0.5686,150215,canaa dos carajas
0.5348,150220,capanema
0.5837,150230,capitao poco
0.5555,150240,castanhal
0.6732,150250,chaves
0.5657,150260,colares
0.5348,150270,conceicao do araguaia
0.506,150275,concordia do para
0.6175,150276,cumaru do norte
0.5527,150277,curionopolis
0.5749,150280,curralinho
0.6014,150285,curua
0.5828,150290,curuca
0.535,150293,dom eliseu
0.58,150295,eldorado dos carajas
0.5606,150300,faro
0.6247,150304,floresta do araguaia
0.5453,150307,garrafao do norte
0.5619,150309,goianesia do para
0.568,150310,gurupa
0.5731,150320,igarape-acu
0.5343,150330,igarape-miri
0.5257,150340,inhangapi
0.5863,150345,ipixuna do para
0.5868,150350,irituia
0.577,150360,itaituba
0.6186,150370,itupiranga
0.6964,150375,jacareacanga
0.6113,150380,jacunda
